player,pid,pos,pick,eff,draftyr,typ,by,Y,age,horizon,nqf,pred_fwd,real_fwd,pred_ev,pred_val,real_val,resid_fwd,resid_val,active
Jordan Dawson,140498197123456,MID,55,55,2015,ND,1997,2019,22.0,7,8,85.99291654482238,114.33333333333333,111.0,1733.5600000000002,5123.0,-28.34041678851095,-3389.4399999999996,1
Jordan Dawson,140498197123456,MID,55,55,2015,ND,1997,2020,23.0,6,7,88.96670753573501,114.33333333333333,2025.0,2138.5400000000004,5089.0,-25.366625797598317,-2950.4599999999996,1
Jordan Dawson,140498197123456,MID,55,55,2015,ND,1997,2021,24.0,5,6,101.70181896458013,114.33333333333333,3325.0,3527.5000000000005,4875.0,-12.631514368753201,-1347.4999999999995,1
Jordan Dawson,140498197123456,MID,55,55,2015,ND,1997,2022,25.0,4,5,108.48145388325277,114.33333333333333,3859.0,4093.7600000000007,4461.0,-5.85187945008056,-367.2399999999993,1
Jordan Dawson,140498197123456,MID,55,55,2015,ND,1997,2023,26.0,3,4,111.34843720859097,114.33333333333333,3951.0,4191.660000000001,4032.0,-2.984896124742363,159.66000000000076,1
Kurt Mutimer,140498197124608,GEN_DEF,56,56,2015,ND,1997,2015,18.0,11,0,51.312581060688174,0.0,8.0,414.40000000000003,0.0,51.312581060688174,414.40000000000003,0
Tom Phillips,140498197124992,MID,57,57,2015,ND,1996,2015,19.0,11,6,65.22215780312033,82.73333333333333,12.0,584.5600000000001,278.0,-17.51117553021301,306.56000000000006,0
Tom Phillips,140498197124992,MID,57,57,2015,ND,1996,2016,20.0,10,6,66.1785600303338,82.73333333333333,12.0,591.4200000000001,314.0,-16.554773302999536,277.4200000000001,1
Tom Phillips,140498197124992,MID,57,57,2015,ND,1996,2017,21.0,9,5,78.66493685213815,82.73333333333333,12.0,1013.2400000000001,373.0,-4.06839648119518,640.2400000000001,1
Tom Phillips,140498197124992,MID,57,57,2015,ND,1996,2018,22.0,8,4,91.51089804967324,82.4,12.0,2451.5600000000004,994.0,9.110898049673239,1457.5600000000004,1
Tom Phillips,140498197124992,MID,57,57,2015,ND,1996,2019,23.0,7,3,92.08989324802782,75.89999999999999,12.0,2215.9600000000005,488.0,16.18989324802783,1727.9600000000005,1
Tom Phillips,140498197124992,MID,57,57,2015,ND,1996,2020,24.0,6,2,88.43737630406964,72.35,12.0,1631.4200000000003,226.0,16.08737630406965,1405.4200000000003,1
Tom Phillips,140498197124992,MID,57,57,2015,ND,1996,2021,25.0,5,1,73.62013291951341,69.8,12.0,454.9800000000001,72.0,3.820132919513412,382.9800000000001,1
Tom Phillips,140498197124992,MID,57,57,2015,ND,1996,2022,26.0,4,0,47.5007766750642,38.5,12.0,15.000000000000004,6.0,9.000776675064202,9.000000000000004,0
Ryan Gardner,140498197125888,KEY_DEF,58,58,2015,ND,1997,2015,18.0,11,4,48.959850826877656,54.56666666666666,412.0,411.72,4.0,-5.606815839789007,407.72,0
Ryan Gardner,140498197125888,KEY_DEF,58,58,2015,ND,1997,2016,19.0,10,4,61.89733830917669,54.56666666666666,264.0,555.3400000000001,4.0,7.330671642510026,551.3400000000001,0
Ryan Gardner,140498197125888,KEY_DEF,58,58,2015,ND,1997,2017,20.0,9,4,61.752122670826836,54.56666666666666,168.0,615.34,4.0,7.185456004160173,611.34,0
Ryan Gardner,140498197125888,KEY_DEF,58,58,2015,ND,1997,2018,21.0,8,4,58.64498932269091,54.56666666666666,145.0,438.0400000000001,5.0,4.078322656024248,433.0400000000001,0
Ryan Gardner,140498197125888,KEY_DEF,58,58,2015,ND,1997,2019,22.0,7,4,55.031248278057994,54.56666666666666,181.0,212.42000000000004,6.0,0.46458161139133125,206.42000000000004,0
