key,Y,type,pos,age,games,tenure,peak_fwd,dv_fwd,pred_raw,b4,b2,b5_raw,b5_tap,asc,in_trainpool,pickless
adam-tomlinson,2011,ND,KPD,18.0,0,0,71.43,336.9,96.24,91.73,70.09,96.24,96.24,1.0,1,0
adam-tomlinson,2012,ND,KPD,19.0,9,1,71.43,383.6,96.75,89.07,73.08,96.75,96.75,1.0,1,0
adam-tomlinson,2013,ND,KPD,20.0,26,2,71.43,334.2,98.18,95.38,84.78,98.18,98.18,1.0,1,0
adam-tomlinson,2014,ND,KPD,21.0,45,3,71.43,215.5,99.24,94.31,82.69,99.24,97.26,0.88,1,0
adam-tomlinson,2015,ND,KPD,22.0,53,4,71.3,230.0,89.23,86.09,75.76,89.23,86.0,0.76,1,0
adam-tomlinson,2016,ND,KPD,23.0,67,5,71.3,239.9,85.86,81.39,72.27,85.86,81.37,0.67,1,0
adam-tomlinson,2017,ND,KPD,24.0,91,6,71.3,267.0,78.15,75.27,63.87,78.15,72.15,0.58,1,0
adam-tomlinson,2018,ND,KPD,25.0,115,7,71.3,160.2,81.55,78.53,70.94,81.55,76.46,0.52,1,0
adam-tomlinson,2019,ND,KPD,26.0,140,8,70.23,177.5,80.21,78.63,70.85,80.21,75.15,0.46,1,0
liam-sumner,2011,ND,SF,18.0,0,0,45.5,0.1,91.68,85.97,60.92,91.68,91.68,1.0,1,0
liam-sumner,2012,ND,SF,19.0,2,1,45.5,0.1,91.68,84.6,60.55,91.68,91.68,1.0,1,0
liam-sumner,2013,ND,SF,20.0,10,2,45.5,0.1,87.73,74.12,58.62,87.73,87.73,1.0,1,0
liam-sumner,2014,ND,SF,21.0,12,3,47.9,0.1,86.11,68.67,53.84,86.11,82.23,0.88,1,0
liam-sumner,2015,ND,SF,22.0,12,4,47.9,0.1,81.0,71.47,51.54,81.0,73.93,0.76,1,0
liam-sumner,2016,ND,SF,23.0,28,5,47.9,0.0,77.04,66.6,52.05,77.04,68.8,0.67,1,0
liam-sumner,2017,ND,SF,24.0,32,6,27.5,0.0,67.58,59.69,44.83,67.58,58.02,0.58,1,0
toby-greene,2011,ND,SF,18.0,0,0,97.07,2677.7,91.5,83.16,63.19,91.5,91.5,1.0,1,0
toby-greene,2012,ND,SF,19.0,19,1,97.07,2558.1,113.57,107.02,90.22,113.57,113.57,1.0,1,0
toby-greene,2013,ND,SF,20.0,38,2,96.73,2895.8,105.03,99.18,83.39,105.03,105.03,1.0,1,0
toby-greene,2014,ND,SF,21.0,53,3,96.73,2572.6,112.54,107.46,95.38,112.54,111.37,0.932,1,0
toby-greene,2015,ND,SF,22.0,75,4,93.37,2760.0,108.92,102.21,89.89,108.92,105.48,0.819,1,0
toby-greene,2016,ND,SF,23.0,98,5,93.37,2443.1,114.21,106.33,93.73,114.21,109.9,0.789,1,0
toby-greene,2017,ND,SF,24.0,117,6,92.73,2059.4,114.02,105.75,92.09,114.02,108.53,0.75,1,0
toby-greene,2018,ND,SF,25.0,126,7,91.57,2219.6,99.11,95.39,84.63,99.11,93.67,0.625,1,0
toby-greene,2019,ND,SF,26.0,145,8,91.57,1801.7,107.35,100.53,89.28,107.35,101.3,0.665,1,0
sam-docherty,2011,ND,SD,18.0,0,0,111.0,2056.1,107.06,96.0,76.76,107.06,107.06,1.0,1,0
sam-docherty,2012,ND,SD,19.0,0,1,111.0,2344.0,107.06,95.21,75.49,107.06,107.06,1.0,1,0
sam-docherty,2013,ND,SD,20.0,13,2,111.0,2672.1,100.9,88.93,71.76,100.9,100.9,1.0,1,0
sam-docherty,2014,ND,SD,21.0,29,3,111.0,2963.7,107.5,98.94,84.06,107.5,104.69,0.88,1,0
sam-docherty,2015,ND,SD,22.0,48,4,111.0,3027.0,112.05,104.8,95.38,112.05,108.16,0.767,1,0
sam-docherty,2016,ND,SD,23.0,70,5,111.0,2485.8,125.05,119.09,112.36,125.05,122.72,0.816,1,0
sam-docherty,2017,ND,SD,24.0,92,6,107.77,1575.6,126.33,121.58,116.02,126.33,124.59,0.832,1,0
sam-docherty,2018,ND,SD,25.0,92,7,102.17,1796.2,127.07,118.37,111.59,127.07,124.1,0.808,1,0
sam-docherty,2019,ND,SD,26.0,92,8,102.17,2047.7,127.19,114.56,103.8,127.19,122.14,0.784,1,0
taylor-adams,2011,ND,SF,18.0,0,0,105.93,2411.4,91.79,84.41,65.59,91.79,91.79,1.0,1,0
