# 01c3645d (unpl_eq) -> 06d8af60 (pedestal on v2)  (RL_PVC2=1 board)
# board md5: 01c3645d -> 06d8af60
# pedestal consumer -> _PVC2M; reorders played+unplayed via proj_value sort; v unchanged
# V-PARITY (displayed v, keyed): 0 movers  => HOLDS (no shipped v moved)
# RANK movers: 688 of 804 active

casc  Mitchell Lewis             #425 -> #449 ( +24)  v=688  ty=ND  pk=75  unpl=False
casc  Oliver Wines               #454 -> #478 ( +24)  v=513  ty=ND  pk=10  unpl=False
REAL  Andy Moniz-Wakefield       #689 -> #665 ( -24)  v=55   ty=PDN pk=None unpl=False
casc  Paddy Dow                  #606 -> #629 ( +23)  v=165  ty=ND  pk=3   unpl=False
casc  Jack Henry                 #617 -> #640 ( +23)  v=243  ty=RD  pk=14  unpl=False
casc  Peter Ladhams              #618 -> #641 ( +23)  v=351  ty=RD  pk=8   unpl=False
REAL  Wade Derksen               #690 -> #667 ( -23)  v=118  ty=MSD pk=5   unpl=False
REAL  Koltyn Tholstrup           #189 -> #167 ( -22)  v=1492 ty=ND  pk=13  unpl=False
casc  Sam De Koning              #393 -> #415 ( +22)  v=1234 ty=ND  pk=19  unpl=False
casc  Kyle Langford              #416 -> #438 ( +22)  v=667  ty=ND  pk=18  unpl=False
casc  Matthew Kennedy            #417 -> #439 ( +22)  v=687  ty=ND  pk=13  unpl=False
casc  Bailey Williams            #421 -> #443 ( +22)  v=646  ty=ND  pk=48  unpl=False
casc  James Rowbottom            #422 -> #444 ( +22)  v=930  ty=ND  pk=25  unpl=False
casc  Brodie Kemp                #443 -> #465 ( +22)  v=852  ty=ND  pk=17  unpl=False
REAL  Bailey Macdonald           #600 -> #578 ( -22)  v=122  ty=ND  pk=51  unpl=False
casc  Will Hayward               #614 -> #636 ( +22)  v=224  ty=ND  pk=21  unpl=False
casc  Cameron Zurhaar            #615 -> #637 ( +22)  v=199  ty=RD  pk=10  unpl=False
casc  Nick Murray                #616 -> #638 ( +22)  v=373  ty=SSP pk=None unpl=False
casc  Nathan O'Driscoll          #626 -> #648 ( +22)  v=894  ty=ND  pk=28  unpl=False
REAL  Max Heath                  #738 -> #716 ( -22)  v=212  ty=MSD pk=7   unpl=False
REAL  Dyson Sharp                #194 -> #173 ( -21)  v=1708 ty=ND  pk=13  unpl=False
REAL  Leon Kickett               #331 -> #352 ( +21)  v=367  ty=RD  pk=4   unpl=True
casc  Lachlan Schultz            #332 -> #353 ( +21)  v=796  ty=ND  pk=57  unpl=False
REAL  Ollie Greeves              #333 -> #354 ( +21)  v=525  ty=RD  pk=5   unpl=True
REAL  Luke Kennedy               #392 -> #413 ( +21)  v=433  ty=ND  pk=62  unpl=False
REAL  Oscar Ryan                 #395 -> #416 ( +21)  v=292  ty=ND  pk=27  unpl=False
REAL  Luke Beecken               #396 -> #417 ( +21)  v=35   ty=MSD pk=17  unpl=False
REAL  Luke Urquhart              #397 -> #418 ( +21)  v=294  ty=ND  pk=57  unpl=True
REAL  Patrick Said               #398 -> #419 ( +21)  v=201  ty=ND  pk=60  unpl=True
REAL  Jaren Carr                 #399 -> #420 ( +21)  v=245  ty=ND  pk=63  unpl=True
casc  Will Brodie                #400 -> #421 ( +21)  v=1019 ty=ND  pk=9   unpl=False
REAL  Eamonn Armstrong           #401 -> #422 ( +21)  v=165  ty=IRE pk=None unpl=False
REAL  Cillian Burke              #402 -> #423 ( +21)  v=118  ty=IRE pk=None unpl=False
REAL  Matt Duffy                 #403 -> #424 ( +21)  v=187  ty=IRE pk=None unpl=False
REAL  Zak Evans                  #404 -> #425 ( +21)  v=8    ty=UNR pk=None unpl=False
REAL  Matt Hill                  #405 -> #426 ( +21)  v=133  ty=UNR pk=None unpl=False
REAL  Ricky Mentha               #406 -> #427 ( +21)  v=137  ty=PDN pk=None unpl=False
REAL  Benny Barrett              #407 -> #428 ( +21)  v=137  ty=PDN pk=None unpl=False
REAL  Cody Anderson              #408 -> #429 ( +21)  v=196  ty=ND  pk=64  unpl=True
casc  Jack Silvagni              #409 -> #430 ( +21)  v=677  ty=ND  pk=53  unpl=False
REAL  Lennox Hoffman             #410 -> #431 ( +21)  v=275  ty=ND  pk=66  unpl=True
REAL  Asher Eastham              #411 -> #432 ( +21)  v=204  ty=RD  pk=8   unpl=True
REAL  River Stevens              #412 -> #433 ( +21)  v=193  ty=ND  pk=67  unpl=True
REAL  Max Knobel                 #413 -> #434 ( +21)  v=492  ty=ND  pk=42  unpl=False
REAL  Harry Charleson            #414 -> #435 ( +21)  v=269  ty=RD  pk=4   unpl=True
REAL  Keighton Matofai-Forbes    #415 -> #436 ( +21)  v=273  ty=ND  pk=69  unpl=True
casc  Matthew Flynn              #441 -> #462 ( +21)  v=717  ty=ND  pk=41  unpl=False
casc  Ollie Dempsey              #442 -> #463 ( +21)  v=1864 ty=RD  pk=8   unpl=False
REAL  Harry Rowston              #491 -> #512 ( +21)  v=614  ty=ND  pk=16  unpl=False
casc  Tom Lynch                  #623 -> #644 ( +21)  v=187  ty=ND  pk=12  unpl=False
casc  Tyson Stengle              #624 -> #645 ( +21)  v=254  ty=RD  pk=5   unpl=False
casc  Jack Higgins               #625 -> #646 ( +21)  v=186  ty=ND  pk=17  unpl=False
casc  Mitchell Hinge             #629 -> #650 ( +21)  v=555  ty=RD  pk=17  unpl=False
casc  Jack Payne                 #636 -> #657 ( +21)  v=219  ty=ND  pk=54  unpl=False
REAL  Jai Culley                 #687 -> #666 ( -21)  v=78   ty=MSD pk=1   unpl=False
REAL  Max Ramsden                #691 -> #670 ( -21)  v=223  ty=MSD pk=6   unpl=False
REAL  Bo Allan                   #238 -> #218 ( -20)  v=990  ty=ND  pk=16  unpl=False
casc  Toby Conway                #277 -> #297 ( +20)  v=562  ty=ND  pk=24  unpl=False
casc  Jarman Impey               #338 -> #358 ( +20)  v=690  ty=ND  pk=21  unpl=False
REAL  Elijah Hewett              #434 -> #414 ( -20)  v=841  ty=ND  pk=14  unpl=False
casc  Bayley Fritsch             #622 -> #642 ( +20)  v=188  ty=ND  pk=31  unpl=False
casc  Billy Frampton             #634 -> #654 ( +20)  v=173  ty=ND  pk=74  unpl=False
casc  Brayden Cook               #635 -> #655 ( +20)  v=886  ty=ND  pk=26  unpl=False
REAL  Harry Barnett              #251 -> #270 ( +19)  v=625  ty=ND  pk=23  unpl=False
REAL  Tylah Williams             #252 -> #271 ( +19)  v=480  ty=ND  pk=39  unpl=True
REAL  Noah Mraz                  #254 -> #273 ( +19)  v=412  ty=ND  pk=35  unpl=True
REAL  Tobyn Murray               #256 -> #275 ( +19)  v=461  ty=ND  pk=40  unpl=True
casc  Andrew McGrath             #257 -> #276 ( +19)  v=1061 ty=ND  pk=1   unpl=False
REAL  Charlie West               #274 -> #293 ( +19)  v=449  ty=ND  pk=50  unpl=False
REAL  Koby Coulson               #275 -> #294 ( +19)  v=558  ty=ND  pk=46  unpl=True
REAL  Hugo Mikunda               #283 -> #302 ( +19)  v=392  ty=ND  pk=48  unpl=True
REAL  Fred Rodriguez             #327 -> #346 ( +19)  v=494  ty=RD  pk=1   unpl=True
REAL  Riley Onley                #329 -> #348 ( +19)  v=438  ty=RD  pk=2   unpl=True
REAL  Mitch Zadow                #330 -> #349 ( +19)  v=145  ty=SSP pk=None unpl=False
