key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
mitchell-hinge,Mitchell Hinge,Adelaide,Collingwood Magpies,Def,17,18,DNP,DNP,507,498,-9,-1.78,366,373,-7,80,83,-3
mitchell-knevitt,Mitchell Knevitt,Geelong,Richmond Tigers,Mid,17,18,PLAYED,62.0,159,179,20,12.58,605,594,11,167,165,2
mitchell-lewis,Mitchell Lewis,Hawthorn,North Melbourne Kangaroos,Key Fwd,17,18,PLAYED,92.0,312,421,109,34.94,481,411,70,66,54,12
mitchell-marsh,Mitchell Marsh,Adelaide,Hawthorn Hawks,Key Fwd,17,18,DNP,DNP,657,643,-14,-2.13,305,312,-7,41,44,-3
mitchito-owens,Mitchito Owens,St Kilda,Western Bulldogs,Key Fwd,17,18,PLAYED,68.0,2166,2239,73,3.37,96,95,1,7,7,0
murphy-reid,Murphy Reid,Fremantle,Fremantle Dockers,Fwd,17,18,PLAYED,107.0,4156,4392,236,5.68,24,21,3,1,1,0
mykelti-lefau,Mykelti Lefau,Richmond,Carlton Blues,Key Fwd,17,18,PLAYED,22.0,34,30,-4,-11.76,755,765,-10,98,98,0
nasiah-wanganeen-milera,Nasiah Wanganeen-Milera,St Kilda,Brisbane Lions,Mid,17,18,PLAYED,154.0,7548,7803,255,3.38,4,4,0,3,3,0
nate-caddy,Nate Caddy,Essendon,Essendon Bombers,Key Fwd,17,18,PLAYED,78.0,1778,1813,35,1.97,134,134,0,11,12,-1
nathan-broad,Nathan Broad,Richmond,Richmond Tigers,Def,17,18,PLAYED,50.0,11,11,0,0.0,791,791,0,173,173,0
nathan-o-driscoll,Nathan O'Driscoll,Fremantle,Essendon Bombers,Mid,17,18,PLAYED,70.0,768,725,-43,-5.6,284,290,-6,104,107,-3
nathan-wardius,Nathan Wardius,GWS,Western Bulldogs,Fwd,17,18,DNP,DNP,143,143,0,0.0,622,623,-1,118,116,2
ned-bowman,Ned Bowman,Sydney,Free agents,Fwd,17,18,DNP,DNP,393,386,-7,-1.78,426,429,-3,59,63,-4
ned-long,Ned Long,Collingwood,Brisbane Lions,Mid,17,18,PLAYED,61.0,1255,1213,-42,-3.35,190,196,-6,78,79,-1
ned-moyle,Ned Moyle,Gold Coast,St Kilda Saints,Ruck,17,18,PLAYED,118.0,1754,2073,319,18.19,137,111,26,12,10,2
ned-reeves,Ned Reeves,Hawthorn,Richmond Tigers,Ruck,17,18,DNP,DNP,380,382,2,0.53,429,430,-1,44,44,0
neil-erasmus,Neil Erasmus,Fremantle,Essendon Bombers,Mid,17,18,PLAYED,79.0,810,871,61,7.53,273,253,20,101,95,6
nic-newman,Nic Newman,Carlton,West Coast Eagles,Def,17,18,PLAYED,96.0,839,878,39,4.65,263,251,12,56,53,3
nicholas-coffield,Nicholas Coffield,Western Bulldogs,West Coast Eagles,Def,17,18,DNP,DNP,53,53,0,0.0,718,717,1,155,155,0
nicholas-holman,Nicholas Holman,Gold Coast,Free agents,Fwd,17,18,PLAYED,14.0,24,24,0,0.0,775,774,1,176,177,-1
nicholas-martin,Nicholas Martin,Essendon,Melbourne Demons,Mid,17,18,DNP,DNP,3533,3523,-10,-0.28,42,46,-4,24,27,-3
nick-blakey,Nick Blakey,Sydney,Collingwood Magpies,Def,17,18,PLAYED,109.0,3963,4015,52,1.31,28,28,0,3,3,0
nick-bryan,Nick Bryan,Essendon,Western Bulldogs,Ruck,17,18,PLAYED,56.0,845,819,-26,-3.08,261,266,-5,24,24,0
nick-daicos,Nick Daicos,Collingwood,North Melbourne Kangaroos,Mid,17,18,PLAYED,121.0,8579,8643,64,0.75,3,3,0,2,2,0
nick-driscoll,Nick Driscoll,Geelong,Port Adelaide Power,Mid,17,18,DNP,DNP,502,488,-14,-2.79,370,378,-8,125,129,-4
nick-haynes,Nick Haynes,Carlton,West Coast Eagles,Def,17,18,PLAYED,64.0,126,106,-20,-15.87,633,658,-25,135,140,-5
nick-larkey,Nick Larkey,North Melbourne,Brisbane Lions,Key Fwd,17,18,PLAYED,89.0,622,717,95,15.27,318,292,26,46,39,7
nick-madden,Nick Madden,GWS,Hawthorn Hawks,Ruck,17,18,DNP,DNP,1182,1112,-70,-5.92,198,211,-13,15,18,-3
nick-murray,Nick Murray,Adelaide,Fremantle Dockers,Key Def,17,18,DNP,DNP,408,408,0,0.0,415,418,-3,38,38,0
nick-vlastuin,Nick Vlastuin,Richmond,St Kilda Saints,Def,17,18,PLAYED,93.0,83,106,23,27.71,688,659,29,147,141,6
nick-watson,Nick Watson,Hawthorn,West Coast Eagles,Fwd,17,18,DNP,DNP,3137,3164,27,0.86,53,52,1,3,3,0
nikolas-cox,Nikolas Cox,Essendon,Essendon Bombers,Key Fwd,17,18,DNP,DNP,241,239,-2,-0.83,545,541,4,73,72,1
noah-anderson,Noah Anderson,Gold Coast,Richmond Tigers,Mid,17,18,PLAYED,69.0,5202,5097,-105,-2.02,13,15,-2,9,10,-1
noah-answerth,Noah Answerth,Brisbane,St Kilda Saints,Def,17,18,PLAYED,43.0,31,31,0,0.0,762,762,0,163,162,1
noah-balta,Noah Balta,Richmond,Adelaide Crows,Key Fwd,17,18,PLAYED,48.0,769,675,-94,-12.22,283,303,-20,39,41,-2
noah-chamberlain,Noah Chamberlain,Sydney,St Kilda Saints,Fwd,17,18,DNP,DNP,157,157,0,0.0,610,610,0,112,111,1
noah-howes,Noah Howes,Collingwood,Essendon Bombers,Key Fwd,17,18,DNP,DNP,265,259,-6,-2.26,519,524,-5,70,70,0
noah-long,Noah Long,West Coast,Free agents,Fwd,17,18,DNP,DNP,243,230,-13,-5.35,542,548,-6,91,95,-4
noah-mraz,Noah Mraz,Hawthorn,Melbourne Demons,Key Def,17,18,PLAYED,71.0,600,1419,819,136.5,327,172,155,26,15,11
