key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
brent-daniels,Brent Daniels,GWS,Essendon Bombers,Fwd,18,19,DNP,DNP,1399,1401,2,0.14,179,182,-3,21,21,0
harry-kyle,Harry Kyle,Sydney,Fremantle Dockers,Def,18,19,DNP,DNP,1022,1026,4,0.39,226,227,-1,48,47,1
jayden-short,Jayden Short,Richmond,Port Adelaide Power,Def,18,19,PLAYED,67.0,1362,1269,-93,-6.83,184,194,-10,38,40,-2
zane-duursma,Zane Duursma,North Melbourne,Richmond Tigers,Fwd,18,19,DNP,DNP,740,743,3,0.41,289,294,-5,35,36,-1
koltyn-tholstrup,Koltyn Tholstrup,Melbourne,Collingwood Magpies,Def,18,19,PLAYED,112.0,1385,1525,140,10.11,181,167,14,37,35,2
luke-trainor,Luke Trainor,Richmond,Carlton Blues,Key Def,18,19,DNP,DNP,1416,1421,5,0.35,174,178,-4,15,15,0
harry-mckay,Harry McKay,Carlton,St Kilda Saints,Key Fwd,18,19,DNP,DNP,1811,1815,4,0.22,135,140,-5,13,13,0
joe-berry,Joe Berry,Port Adelaide,Adelaide Crows,Fwd,18,19,PLAYED,64.0,1031,1039,8,0.78,225,224,1,27,28,-1
harvey-thomas,Harvey Thomas,GWS,Brisbane Lions,Fwd,18,19,DNP,DNP,2199,2206,7,0.32,101,99,2,13,12,1
lachlan-mcandrew,Lachlan McAndrew,Adelaide,Brisbane Lions,Ruck,18,19,PLAYED,71.0,1489,1447,-42,-2.82,166,176,-10,15,14,1
mark-keane,Mark Keane,Adelaide,Adelaide Crows,Key Def,18,19,PLAYED,68.0,1935,1865,-70,-3.62,126,135,-9,7,10,-3
phoenix-gothard,Phoenix Gothard,GWS,Hawthorn Hawks,Fwd,18,19,DNP,DNP,410,410,0,0.0,429,433,-4,61,63,-2
will-green,Will Green,Sydney,Essendon Bombers,Ruck,18,19,DNP,DNP,651,651,0,0.0,315,321,-6,28,27,1
cooper-sharman,Cooper Sharman,St Kilda,Adelaide Crows,Key Fwd,18,19,PLAYED,40.0,741,645,-96,-12.96,288,324,-36,39,45,-6
zach-reid,Zach Reid,Essendon,Hawthorn Hawks,Key Def,18,19,PLAYED,53.0,1611,1461,-150,-9.31,153,172,-19,12,14,-2
josh-dunkley,Josh Dunkley,Brisbane,Geelong Cats,Mid,18,19,PLAYED,131.0,1244,1387,143,11.5,194,184,10,79,76,3
