key,name,age,pos,b4,b5,inversion
kye-annand,"Kye Annand",23,KPD,73.480200,82.885078,0
tom-blamires,"Tom Blamires",24,SD,79.412035,88.022025,0
tom-papley,"Tom Papley",30,SF,74.813755,79.954828,0
matt-carroll,"Matt Carroll",21,MID,98.351257,107.042973,0
hussien-el-achkar,"Hussien El Achkar",19,SF,73.997529,84.828914,0
daniel-mcstay,"Daniel McStay",31,KPF,73.623062,80.739776,0
jack-watkins,"Jack Watkins",26,MID,69.227409,78.453167,0
paddy-dow,"Paddy Dow",27,MID,70.711850,80.225861,0
angus-anderson,"Angus Anderson",23,MID,76.514125,87.939079,0
luker-kentfield,"Luker Kentfield",21,KPF,81.020070,95.592368,0
zane-zakostelsky,"Zane Zakostelsky",21,KPD,75.325228,91.774813,0
harvey-gallagher,"Harvey Gallagher",23,SD,67.901318,78.038005,0
luke-urquhart,"Luke Urquhart",20,MID,89.677514,104.440886,0
ollie-greeves,"Ollie Greeves",19,MID,94.055415,109.291195,0
roan-steele,"Roan Steele",25,MID,73.813901,80.697856,0
sam-butler-1,"Sam Butler",23,SF,63.091979,75.286647,0
james-o-donnell,"James O'Donnell",24,KPD,78.284016,80.292769,0
connor-budarick,"Connor Budarick",25,SD,76.484436,83.498929,0
bodie-ryan,"Bodie Ryan",21,SD,78.429981,97.980830,0
zak-johnson,"Zak Johnson",20,SD,90.116894,100.521630,0
noah-roberts-thomson,"Noah Roberts-Thomson",19,SF,77.199177,88.813359,0
karl-amon,"Karl Amon",31,SD,91.465580,95.767837,0
campbell-chesser,"Campbell Chesser",23,MID,85.776418,92.010778,0
braeden-campbell,"Braeden Campbell",24,SD,79.348742,82.152328,0
flynn-perez,"Flynn Perez",25,SD,69.428036,76.879627,0
dion-prestia,"Dion Prestia",34,MID,77.058072,92.048958,0
blake-howes,"Blake Howes",23,SD,83.469692,90.724179,0
lachlan-blakiston,"Lachlan Blakiston",28,KPD,63.113487,68.579479,0
rory-lobb,"Rory Lobb",33,KPD,74.109717,80.296298,0
