key,player,pos,base,fix1,absence,both
tom-mccartin,Tom McCartin,KEY_DEF,1408,1356,1408,1356
ned-long,Ned Long,MID,910,961,910,961
alix-tauru,Alix Tauru,KEY_DEF,1693,1644,1693,1644
logan-morris,Logan Morris,KEY_FWD,3074,3025,3074,3025
kysaiah-pickett,Kysaiah Pickett,GEN_FWD,3329,3281,3329,3281
jake-soligo,Jake Soligo,MID,2071,2118,2071,2118
sandy-brock,Sandy Brock,KEY_DEF,363,410,363,410
jack-scrimshaw,Jack Scrimshaw,GEN_DEF,86,133,86,133
dan-houston,Dan Houston,GEN_DEF,1188,1234,1188,1234
elijah-hollands,Elijah Hollands,GEN_FWD,927,971,927,971
matt-rowell,Matt Rowell,MID,3979,4022,3979,4022
leek-aleer,Leek Aleer,KEY_DEF,338,368,321,296
paul-curtis,Paul Curtis,GEN_FWD,1518,1478,1518,1478
zac-fisher,Zac Fisher,GEN_FWD,171,211,171,211
todd-marshall,Todd Marshall,KEY_FWD,154,154,116,116
jordan-ridley,Jordan Ridley,GEN_DEF,1040,1078,1040,1078
seth-campbell,Seth Campbell,GEN_FWD,1027,990,1027,990
sam-berry,Sam Berry,MID,2731,2695,2731,2695
connor-o-sullivan,Connor O'Sullivan,KEY_DEF,2786,2751,2786,2751
errol-gulden,Errol Gulden,MID,5743,5709,5743,5709
kai-lohmann,Kai Lohmann,GEN_FWD,464,497,464,497
archie-roberts,Archie Roberts,GEN_DEF,4386,4354,4386,4354
will-day,Will Day,MID,2950,2918,2950,2918
joel-jeffrey,Joel Jeffrey,GEN_DEF,1646,1677,1646,1677
mattaes-phillipou,Mattaes Phillipou,MID,1056,1086,1056,1086
neil-erasmus,Neil Erasmus,MID,800,830,800,830
ryan-angwin,Ryan Angwin,MID,434,404,434,404
george-wardlaw,George Wardlaw,MID,3061,3032,3061,3032
tyler-sonsie,Tyler Sonsie,MID,750,721,750,721
james-borlase,James Borlase,KEY_DEF,487,516,487,516
jack-henry,Jack Henry,KEY_DEF,199,226,199,226
ryan-maric,Ryan Maric,MID,1231,1257,1231,1257
